"location","site","bleach_intensity","X","Y","management","habitat","average.dhw.90days","max.dhw.90days","dip.Statistic.sst","bimodality.coefficient","bimodality.ratio","n.h.spell.events_90Days","avg.high.spell.duration.90days","max.high.spell.duration.90days","avg.high.spell.rise.90days","avg.spell.peak","sd.spell.peak","avg.low.spell.duration.90dys","dhd_mmmplus1","CA1"
"Tanzania islands","Bawe Lodge",23.5978836,39.12663,-6.15107,"open","lagoon",1.971758198,5.35999988,0.027055223,0.523083382,0.697763445,1,20,20,0.255555551,29.33956456,0.785611952,5,0,0.321584797
"Tanzania islands","Bawe South",40.05102041,39.12228,-6.15619,"open","lagoon",1.971758198,5.35999988,0.027055223,0.523083382,0.697763445,1,20,20,0.255555551,29.33956456,0.785611952,5,0,0.031415507
"Tanzania islands","Bawe corner",57.364685,39.13708,-6.14592,"open","lagoon",1.787472488,4.91999989,0.028571428,0.528551586,0.725078253,1,20,20,0.235999995,29.34272662,0.807424941,5.5,0,0.977525869
"Tanzania islands","Bawe corner",36.88104724,39.13708,-6.14592,"open","lagoon",1.787472488,4.91999989,0.028571428,0.528551586,0.725078253,1,20,20,0.235999995,29.34272662,0.807424941,5.5,0,0.937112898
"Tanzania islands","Bawe E",46.46133683,39.12663,-6.15107,"open","lagoon",1.971758198,5.35999988,0.027055223,0.523083382,0.697763445,1,20,20,0.255555551,29.33956456,0.785611952,5,0,0.865806191
"Tanzania islands","Bawe Lodge",35.4959451,39.12663,-6.15107,"open","lagoon",1.971758198,5.35999988,0.027055223,0.523083382,0.697763445,1,20,20,0.255555551,29.33956456,0.785611952,5,0,0.61976957
"Tanzania islands","Bawe South",40.69264069,39.12228,-6.15619,"open","lagoon",1.971758198,5.35999988,0.027055223,0.523083382,0.697763445,1,20,20,0.255555551,29.33956456,0.785611952,5,0,0.406453728
"Tanzania islands","Bawe South",44.04312668,39.12228,-6.15619,"open","lagoon",1.971758198,5.35999988,0.027055223,0.523083382,0.697763445,1,20,20,0.255555551,29.33956456,0.785611952,5,0,0.19864412
"Tanzania islands","Bongoyo Site 2",37.97909408,39.26325,-6.69964,"restricted","lagoon",2.539450492,5.269999882,0.036463536,0.474651657,0.646767085,2,7.5,14,0.156999998,29.41349934,0.637819256,5,0,1.289924913
"Tanzania islands","Bongoyo Site 1",28.77772047,39.2587,-6.6965,"restricted","lagoon",2.539450492,5.269999882,0.036463536,0.474651657,0.646767085,2,7.5,14,0.156999998,29.41349934,0.637819256,5,0,1.158134414
"Tanzania islands","Changuu 1",25.81280788,39.1692,-6.1176,"open","lagoon",1.842197761,7.729999827,0.030219781,0.617591393,0.675467434,1,20,20,0.233999995,29.27739065,0.815041629,3.333333333,0,1.144584982
"Tanzania islands","Changuu 2",20.86466165,39.1692,-6.1176,"open","lagoon",1.923736221,7.729999827,0.03003663,0.614508272,0.684584036,1,20,20,0.233999995,29.27739065,0.815041629,3.333333333,0,0.930560628
"Tanzania islands","Chawe",41.29380054,39.77992,-7.92752,"restricted","flat",1.128791184,2.099999953,0.051543694,0.508793025,0.851925438,2,8.5,15,0.102999996,29.56192242,0.644180203,2.5,0,0.841903165
"Tanzania islands","Chumbe South",39.33554817,39.17642,-6.28475,"no-take","lagoon",2.388791155,6.129999863,0.035057334,0.494241723,0.625087807,1,20,20,0.214999996,29.38079934,0.795036251,5,1.04694741,0.841753889
"Tanzania islands","Chumbe North",47.46835443,39.17437,-6.27716,"no-take","lagoon",2.388791155,6.129999863,0.035057334,0.494241723,0.625087807,1,20,20,0.214999996,29.38079934,0.795036251,5,1.04694741,0.719270693
"Tanzania islands","Chumbe",41.26413155,39.17437,-6.27716,"no-take","lagoon",2.388791155,6.129999863,0.035057334,0.494241723,0.625087807,1,20,20,0.214999996,29.38079934,0.795036251,5,1.04694741,0.959311027
"Tanzania islands","Chumbe 3",38.72491145,39.17642,-6.28475,"no-take","lagoon",2.388791155,6.129999863,0.035057334,0.494241723,0.625087807,1,20,20,0.214999996,29.38079934,0.795036251,5,1.04694741,0.802554403
"Tanzania islands","Chumbe 2",32.05902079,39.17437,-6.27716,"no-take","lagoon",2.388791155,6.129999863,0.035057334,0.494241723,0.625087807,1,20,20,0.214999996,29.38079934,0.795036251,5,1.04694741,0.688865482
"Tanzania islands","Chumbe 3",35.42626728,39.17642,-6.28475,"no-take","lagoon",2.388791155,6.129999863,0.035057334,0.494241723,0.625087807,1,20,20,0.214999996,29.38079934,0.795036251,5,1.04694741,0.889518922
"Tanzania islands","Chumbe 2",49.52751529,39.17437,-6.27716,"no-take","lagoon",2.388791155,6.129999863,0.035057334,0.494241723,0.625087807,1,20,20,0.214999996,29.38079934,0.795036251,5,1.04694741,0.887393494
"Tanzania islands","Chumbe 3",44.46831364,39.17642,-6.28475,"no-take","lagoon",2.388791155,6.129999863,0.035057334,0.494241723,0.625087807,1,20,20,0.214999996,29.38079934,0.795036251,5,1.04694741,0.658260837
"Tanzania islands","Mbudya Site 2",29.81624185,39.25013,-6.66154,"restricted","flat",2.433955989,5.269999882,0.036463536,0.497657859,0.689308281,2,7.5,14,0.156999998,29.36523744,0.659837988,5.5,0,0.613286
"Tanzania islands","Mbudya Edge 2",58.63354037,39.26098,-6.65798,"restricted","flat",2.592197744,5.269999882,0.036463536,0.475186459,0.636971233,2,7.5,14,0.156999998,29.41349934,0.637819256,5,0,0.669339825
"Tanzania islands","Mbudya Site 1",43.97654584,39.24391,-6.65438,"restricted","flat",2.135714238,4.779999893,0.037887485,0.504381786,0.66398886,2,8,14,0.155454543,29.36956456,0.634238816,5.5,0,0.996423758
"Tanzania islands","Mbudya Edge",59.15057915,39.26098,-6.65798,"restricted","flat",2.592197744,5.269999882,0.036463536,0.475186459,0.636971233,2,7.5,14,0.156999998,29.41349934,0.637819256,5,0,0.604255189
"Kisite","Kisite 1 Tempgauge",9.943551889,39.3722,-4.71498,"no-take","lagoon",1.72824172,2.779999938,0.026973028,0.476482922,2.062334743,2,7.5,8,0.222222216,29.27863571,0.538359891,5,0,0.488682738
"Kenya fringing","Malindi Coral Gardens 1",20.22756005,40.15,-3.26,"no-take","lagoon",1.998901054,3.719999917,0.052090766,0.46296556,1.502996184,2,7,8,0.30714285,28.93909026,0.846881707,5.5,1.00249535,-0.050394076
"Kenya fringing","Malindi Coral gardens 2",17.24137931,40.15,-3.26,"no-take","lagoon",1.998901054,3.719999917,0.052090766,0.46296556,1.502996184,2,7,8,0.30714285,28.93909026,0.846881707,5.5,1.00249535,-0.008629252
"Kenya fringing","Coral Gardens 1",14.62105969,39.75056,-3.99167,"no-take","lagoon",1.184725248,2.759999938,0.030008452,0.578070368,3.804638186,2,5,8,0.209999995,28.98791602,0.783864318,10,0,-0.23691371
"Kenya fringing","Coral gardens 2",7.957813998,39.748362,-3.994569,"no-take","lagoon",1.508076889,3.541249921,0.030115455,0.579557946,3.816689703,2,7.5,8,0.198749995,29.00999935,0.732966558,10,0,-0.405846928
"Kenya fringing","Coral gardens 3 (starfish)",3.80952381,39.747659,-3.994339,"no-take","lagoon",1.508076889,3.541249921,0.030115455,0.579557946,3.816689703,2,7.5,8,0.198749995,29.00999935,0.732966558,10,0,-0.502597536
"Kenya fringing","Watamu north",20.14157014,39.9925,-3.38306,"no-take","lagoon",2.615494447,5.019999888,0.040126541,0.442020958,14.35536753,2,7,7,0.274285709,28.90238031,0.851985337,3.333333333,1.10286538,0.092367398
"Kenya fringing","Watamu south",18.94576012,39.991845,-3.383981,"no-take","lagoon",2.615494447,5.019999888,0.040126541,0.442020958,14.35536753,2,7,7,0.274285709,28.90238031,0.851985337,3.333333333,1.10286538,0.024247444
"Ankarea","Nosy Lava",34.36293436,48.67083333,-12.74733333,"no-take","slope",0.594175811,2.579999942,0.044740973,0.449317048,0,1,13,13,0.138571426,29.78217325,0.551328603,10,0,0.248644648
